country;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;sex
European Union - 27 countries (from 2020);26.4;26.4;26.3;26.3;26.1;26.4;26.5;26.4;26.3;26.2;Total
Belgium;25.0;25.2;23.4;25.2;25.2;25.5;26.2;26.3;26.4;26.2;Total
Bulgaria;28.7;29.4;28.9;29.6;30.0;29.9;30.0;30.0;30.0;28.2;Total
Czechia;26.5;26.3;26.4;26.2;25.8;26.0;25.9;25.9;25.4;25.8;Total
Denmark;21.1;21.0;21.1;21.1;21.1;21.2;21.7;21.7;21.8;21.7;Total
Germany;23.8;23.7;23.7;23.7;23.7;23.9;23.7;23.8;23.9;23.9;Total
Estonia;23.9;24.0;23.7;22.7;22.6;22.6;22.7;22.7;22.8;22.4;Total
Ireland;26.4;26.5;26.3;26.5;26.8;28.1;27.8;26.9;28.0;26.8;Total
Greece;29.4;29.1;29.4;29.3;28.9;29.6;30.7;30.7;30.6;30.7;Total
Spain;29.0;29.4;29.3;29.5;29.5;29.8;30.2;30.5;30.4;30.0;Total
France;23.9;23.8;24.1;23.7;23.6;24.0;23.6;23.4;23.7;23.5;Total
Croatia;31.3;31.4;31.8;31.7;31.6;32.4;33.2;33.4;31.9;31.3;Total
Italy;30.1;30.1;30.1;30.1;30.1;30.2;29.9;30.0;30.0;30.1;Total
Cyprus;28.4;27.2;27.4;27.4;27.3;26.9;27.7;28.0;27.4;27.2;Total
Latvia;27.5;27.7;27.0;26.6;26.6;26.7;26.6;26.8;26.2;26.6;Total
Lithuania;25.6;25.4;25.7;25.7;25.9;25.6;25.2;24.7;24.1;23.6;Total
Luxembourg;26.1;26.4;26.3;25.8;26.5;26.3;26.8;26.8;26.7;26.9;Total
Hungary;27.5;27.6;27.4;27.4;27.4;27.5;27.4;27.2;27.1;27.1;Total
Malta;30.5;30.8;31.0;30.2;29.3;29.8;28.3;28.4;28.5;29.0;Total
Netherlands;23.7;23.7;23.6;23.7;23.7;24.3;23.2;23.0;23.2;23.2;Total
Austria;25.5;25.3;25.2;25.6;25.4;25.5;25.3;25.3;25.3;25.3;Total
Poland;28.3;28.0;27.7;27.6;27.1;27.8;28.4;28.2;27.2;26.7;Total
Portugal;28.9;29.0;29.1;28.8;28.9;29.9;33.3;30.1;29.0;28.9;Total
Romania;27.9;28.1;28.0;28.2;28.1;27.9;28.0;27.7;27.7;27.3;Total
Slovenia;28.2;28.2;28.3;28.2;27.7;27.5;29.6;29.4;29.1;28.9;Total
Slovakia;30.9;31.0;30.8;30.9;30.9;30.9;30.9;30.8;31.0;30.9;Total
Finland;21.9;21.9;21.9;22.0;21.8;22.0;21.5;21.3;21.4;21.4;Total
Sweden;19.7;20.7;21.0;18.4;17.8;17.5;22.0;21.6;21.8;21.9;Total
United Kingdom;24.4;24.3;24.4;24.7;24.6;;;;;;Total
Montenegro;32.1;32.2;32.5;32.8;33.1;33.3;;;;;Total
North Macedonia;31.7;31.2;31.5;31.7;31.8;32.1;;;;;Total
Serbia;30.8;31.1;31.2;31.3;31.1;31.2;30.6;30.6;30.1;30.2;Total
Türkiye;27.3;27.4;27.4;27.5;27.5;27.8;28.2;28.1;28.1;;Total
European Union - 27 countries (from 2020);27.5;27.4;27.3;27.2;27.1;27.4;27.5;27.3;27.2;27.0;Males
Belgium;25.8;26.1;24.1;26.1;25.9;26.2;27.0;27.0;27.0;26.9;Males
Bulgaria;30.5;31.7;31.1;31.7;32.1;32.0;31.7;32.0;31.8;29.8;Males
Czechia;27.6;27.7;27.7;27.3;26.9;27.3;27.1;27.1;26.8;27.1;Males
Denmark;21.5;21.3;21.3;21.3;21.3;21.5;22.0;22.0;22.2;22.1;Males
Germany;24.6;24.4;24.4;24.4;24.4;24.7;24.5;24.5;24.7;24.6;Males
Estonia;24.8;24.9;24.6;23.6;23.3;23.2;23.2;23.4;23.6;22.9;Males
Ireland;27.1;27.2;27.1;27.3;27.5;28.9;28.3;27.4;28.5;27.4;Males
Greece;30.8;30.4;30.7;30.6;30.1;30.7;31.8;32.1;32.3;32.5;Males
Spain;30.1;30.4;30.3;30.5;30.3;30.7;31.1;31.2;31.3;30.5;Males
France;24.8;24.7;25.0;24.4;24.4;24.8;24.4;24.2;24.4;24.1;Males
